Store;Date;Weekly_Sales;Holiday_Flag;Temperature;Fuel_Price;CPI;Unemployment
1;15/07/2011;$ 1.455.120;0;88.54;$ 3.575;2.153.611.087;7.962
1;22/07/2011;$ 1.396.927;0;85.77;$ 3.651;2.154.222.784;7.962
1;29/07/2011;$ 1.352.220;0;86.83;$ 3.682;2.154.834.482;7.962
1;5/08/2011;$ 1.624.384;0;91.65;$ 3.684;215.544.618;7.962
1;12/08/2011;$ 1.525.147;0;90.76;$ 3.638;2.156.057.878;7.962
1;19/08/2011;$ 1.530.761;0;89.94;$ 3.554;2.156.693.107;7.962
1;26/08/2011;$ 1.464.693;0;87.96;$ 3.523;2.157.332.258;7.962
1;2/09/2011;$ 1.550.229;0;87.83;$ 3.533;2.157.971.409;7.962
1;9/09/2011;$ 1.540.471;1;76;$ 3.546;215.861.056;7.962
1;16/09/2011;$ 1.514.260;0;79.94;$ 3.526;2.160.410.526;7.962
1;23/09/2011;$ 1.380.020;0;75.8;$ 3.467;2.163.758.246;7.962
1;30/09/2011;$ 1.394.562;0;79.69;$ 3.355;2.167.105.965;7.962
1;7/10/2011;$ 1.630.990;0;69.31;$ 3.285;2.170.453.684;7.866
1;14/10/2011;$ 1.493.526;0;71.74;$ 3.274;2.173.552.733;7.866
1;21/10/2011;$ 1.502.563;0;63.71;$ 3.353;2.175.159.762;7.866
1;28/10/2011;$ 1.445.249;0;66.57;$ 3.372;2.176.766.791;7.866
1;4/11/2011;$ 1.697.230;0;54.98;$ 3.332;217.837.382;7.866
1;11/11/2011;$ 1.594.939;0;59.11;$ 3.297;2.179.980.849;7.866
1;18/11/2011;$ 1.539.484;0;62.25;$ 3.308;2.182.205.088;7.866
1;25/11/2011;$ 2.033.321;1;60.14;$ 3.236;2.184.676.211;7.866
1;2/12/2011;$ 1.584.084;0;48.91;$ 3.172;2.187.147.333;7.866
1;9/12/2011;$ 1.799.682;0;43.93;$ 3.158;2.189.618.456;7.866
1;16/12/2011;$ 1.881.177;0;51.63;$ 3.159;2.191.794.533;7.866
1;23/12/2011;$ 2.270.189;0;47.96;$ 3.112;2.193.577.216;7.866
1;30/12/2011;$ 1.497.463;1;44.55;$ 3.129;2.195.359.898;7.866
1;6/01/2012;$ 1.550.370;0;49.01;$ 3.157;2.197.142.581;7.348
1;13/01/2012;$ 1.459.601;0;48.53;$ 3.261;2.198.925.263;7.348
1;20/01/2012;$ 1.394.394;0;54.11;$ 3.268;2.199.856.893;7.348
1;27/01/2012;$ 1.319.326;0;54.26;$ 3;2.200.788.523;7.348
1;3/02/2012;$ 1.636.340;0;56.55;$ 3;2.201.720.153;7.348
1;10/02/2012;$ 1.802.477;1;48.02;$ 3.409;2.202.651.783;7.348
1;17/02/2012;$ 1.819.870;0;45.32;$ 4;2.204.257.586;7.348
1;24/02/2012;$ 1.539.388;0;57.25;$ 3.555;220.636.902;7.348
1;2/03/2012;$ 1.688.421;0;60.96;$ 4;2.208.480.454;7.348
1;9/03/2012;$ 1.675.431;0;58.76;$ 3.669;2.210.591.887;7.348
1;16/03/2012;$ 1.677.473;0;64.74;$ 3.734;2.212.118.132;7.348
1;23/03/2012;$ 1.511.068;0;65.93;$ 3.787;2.212.864.126;7.348
1;30/03/2012;$ 1.649.605;0;67.61;$ 3.845;2.213.610.119;7.348
1;6/04/2012;$ 1.899.677;0;70.43;$ 3.891;2.214.356.112;7.143
1;13/04/2012;$ 1.621.032;0;69.07;$ 3.891;2.215.102.105;7.143
1;20/04/2012;$ 1.521.578;0;66.76;$ 3.877;2.215.640.737;7.143
1;27/04/2012;$ 1.468.928;0;67.23;$ 3.814;2.216.179.368;7.143
1;4/05/2012;$ 1.684.520;0;75.55;$ 3.749;2.216.718;7.143
1;11/05/2012;$ 1.611.096;0;73.77;$ 3.688;2.217.256.632;7.143
1;18/05/2012;$ 1.595.902;0;70.33;$ 4;221.742.674;7.143
1;25/05/2012;$ 1.555.445;0;77.22;$ 3.561;221.744.944;7.143
1;1/06/2012;$ 1.624.478;0;77.95;$ 3.501;2.217.472.139;7.143
1;8/06/2012;$ 1.697.231;0;78.3;$ 3.452;2.217.494.839;7.143
1;15/06/2012;$ 1.630.607;0;79.35;$ 3.393;2.217.626.421;7.143
1;22/06/2012;$ 1.527.846;0;78.39;$ 3.346;2.218.030.211;7.143
1;29/06/2012;$ 1.540.421;0;84.88;$ 3.286;2.218.434;7.143
1;6/07/2012;$ 1.769.854;0;81.57;$ 3.227;2.218.837.789;6.908
1;13/07/2012;$ 1.527.014;0;77.12;$ 3.256;2.219.241.579;6.908
1;20/07/2012;$ 1.497.955;0;80.42;$ 3.311;2.219.327.267;6.908
1;27/07/2012;$ 1.439.124;0;82.66;$ 3.407;2.219.412.954;6.908
1;3/08/2012;$ 1.631.136;0;86.11;$ 3.417;2.219.498.642;6.908
1;10/08/2012;$ 1.592.410;0;85.05;$ 3.494;2.219.584.329;6.908
1;17/08/2012;$ 1.597.868;0;84.85;$ 3.571;2.220.384.109;6.908
1;24/08/2012;$ 1.494.122;0;77.66;$ 4;2.221.719.457;6.908
1;31/08/2012;$ 1.582.083;0;80.49;$ 3.638;2.223.054.805;6.908
1;7/09/2012;$ 1.661.767;1;83.96;$ 4;2.224.390.153;6.908
1;14/09/2012;$ 1.517.429;0;74.97;$ 3.717;2.225.820.193;6.908
1;21/09/2012;$ 1.506.126;0;69.87;$ 3.721;2.227.818.386;6.908
1;28/09/2012;$ 1.437.059;0;76.08;$ 3.666;2.229.816.579;6.908
1;5/10/2012;$ 1.670.786;0;68.55;$ 3.617;2.231.814.772;6.573
1;12/10/2012;$ 1.573.073;0;62.99;$ 3.601;2.233.812.965;6.573
1;19/10/2012;$ 1.508.069;0;67.97;$ 3.594;2.234.257.233;6.573
1;26/10/2012;$ 1.493.660;0;69.16;$ 3.506;2.234.442.513;6.573
2;5/02/2010;$ 2.136.989;0;40.19;$ 2.572;2.107.526.053;8.324
2;12/02/2010;$ 2.137.810;1;38.49;$ 2.548;2.108.979.935;8.324
2;19/02/2010;$ 2.124.452;0;39.69;$ 2.514;2.109.451.605;8.324
2;26/02/2010;$ 1.865.097;0;46.1;$ 2.561;2.109.759.573;8.324
2;5/03/2010;$ 1.991.013;0;47.17;$ 2.625;2.110.067.542;8.324
2;12/03/2010;$ 1.990.484;0;57.56;$ 2.667;211.037.551;8.324
2;19/03/2010;$ 1.946.071;0;54.52;$ 3;2.108.733.316;8.324
2;26/03/2010;$ 1.750.198;0;51.26;$ 2.732;2.106.766.095;8.324
2;2/04/2010;$ 2.066.188;0;63.27;$ 2.719;2.104.798.874;8.2
2;9/04/2010;$ 1.954.689;0;65.41;$ 3;2.102.831.653;8.2
2;16/04/2010;$ 1.874.958;0;68.07;$ 2.808;2.101.495.463;8.2
2;23/04/2010;$ 1.821.991;0;65.11;$ 2.795;2.101.000.648;8.2
2;30/04/2010;$ 1.802.450;0;66.98;$ 3;2.100.505.833;8.2
2;7/05/2010;$ 2.042.582;0;71.28;$ 2.835;2.100.011.018;8.2
2;14/05/2010;$ 1.880.752;0;73.31;$ 2.854;2.099.984.585;8.2
2;21/05/2010;$ 1.896.937;0;74.83;$ 2.826;2.102.768.443;8.2
2;28/05/2010;$ 1.957.114;0;81.13;$ 2.759;2.105.552.301;8.2
2;4/06/2010;$ 2.102.540;0;81.81;$ 2.705;210.833.616;8.2
2;11/06/2010;$ 2.025.539;0;83.4;$ 2.668;2.111.120.018;8.2
2;18/06/2010;$ 2.001.637;0;85.81;$ 2.637;2.111.096.543;8.2
2;25/06/2010;$ 1.939.927;0;86.26;$ 2.653;2.109.950.134;8.2
2;2/07/2010;$ 2.003.941;0;82.74;$ 2.669;2.108.803.726;8.099
2;9/07/2010;$ 1.880.903;0;82.59;$ 2.642;2.107.657.317;8.099
2;16/07/2010;$ 1.845.880;0;85.32;$ 2.623;2.107.577.954;8.099
2;23/07/2010;$ 1.781.718;0;87.66;$ 2.608;2.108.921.319;8.099
2;30/07/2010;$ 1.804.246;0;83.49;$ 3;2.110.264.684;8.099
2;6/08/2010;$ 1.991.910;0;89.53;$ 2.627;2.111.608.049;8.099
2;13/08/2010;$ 1.895.601;0;89.05;$ 2.692;2.112.951.413;8.099
2;20/08/2010;$ 1.964.335;0;88.7;$ 2.664;2.112.596.586;8.099
2;27/08/2010;$ 1.863.840;0;87.12;$ 2.619;2.112.241.759;8.099
2;3/09/2010;$ 1.904.608;0;81.83;$ 2.577;2.111.886.931;8.099
2;10/09/2010;$ 1.839.129;1;79.09;$ 2.565;2.111.532.104;8.099
2;17/09/2010;$ 1.793.904;0;82.05;$ 2.582;2.111.806.415;8.099
2;24/09/2010;$ 1.724.557;0;81.79;$ 2.624;2.112.552.578;8.099
2;1/10/2010;$ 1.827.440;0;69.24;$ 2.603;2.113.298.742;8.163
2;8/10/2010;$ 1.849.921;0;63.19;$ 2.633;2.114.044.906;8.163
2;15/10/2010;$ 1.794.355;0;65.8;$ 3;2.114.713.286;8.163
2;22/10/2010;$ 1.737.948;0;68.5;$ 2.725;2.115.187.208;8.163
2;29/10/2010;$ 1.802.755;0;66.24;$ 2.716;2.115.661.131;8.163
2;5/11/2010;$ 1.939.061;0;57.85;$ 2.689;2.116.135.053;8.163
2;12/11/2010;$ 1.916.813;0;59.69;$ 2.728;2.116.608.975;8.163
2;19/11/2010;$ 1.956.739;0;50.81;$ 2.771;2.115.470.304;8.163
2;26/11/2010;$ 2.658.725;1;62.98;$ 2.735;2.114.062.867;8.163
2;3/12/2010;$ 2.015.781;0;49.33;$ 2.708;211.265.543;8.163
2;10/12/2010;$ 2.378.727;0;45.5;$ 2.843;2.111.247.993;8.163
2;17/12/2010;$ 2.609.167;0;47.55;$ 2.869;2.110.645.458;8.163
2;24/12/2010;$ 3.436.008;0;49.97;$ 2.886;2.110.646.599;8.163
2;31/12/2010;$ 1.750.435;1;47.3;$ 2.943;211.064.774;8.163
2;7/01/2011;$ 1.758.051;0;44.69;$ 2.976;2.110.648.881;8.028
2;14/01/2011;$ 1.744.194;0;33.02;$ 2.983;2.111.176.713;8.028
2;21/01/2011;$ 1.751.385;0;41.4;$ 3.016;2.114.864.691;8.028
2;28/01/2011;$ 1.695.372;0;42.83;$ 3;2.118.552.668;8.028
2;4/02/2011;$ 1.929.346;0;38.25;$ 2.989;2.122.240.646;8.028
2;11/02/2011;$ 2.168.042;1;33.19;$ 3.022;2.125.928.624;8.028
2;18/02/2011;$ 2.080.885;0;57.83;$ 3.045;2.129.033.115;8.028
2;25/02/2011;$ 1.833.511;0;60.8;$ 3.065;213.190.421;8.028
2;4/03/2011;$ 1.981.608;0;57.77;$ 3.288;2.134.775.305;8.028
2;11/03/2011;$ 1.879.107;0;52.7;$ 3.459;2.137.646.401;8.028
2;18/03/2011;$ 1.902.558;0;62.32;$ 3.488;2.140.156.238;8.028
2;25/03/2011;$ 1.766.162;0;69.42;$ 3.473;2.142.521.573;8.028
2;1/04/2011;$ 1.800.171;0;55.43;$ 3.524;2.144.886.908;7.931
2;8/04/2011;$ 1.847.553;0;67;$ 3.622;2.147.252.242;7.931
2;15/04/2011;$ 1.856.468;0;69.48;$ 3.743;2.149.420.631;7.931
2;22/04/2011;$ 1.886.340;0;69.39;$ 3.807;2.151.096.657;7.931
2;29/04/2011;$ 1.745.545;0;69.21;$ 4;2.152.772.683;7.931
2;6/05/2011;$ 1.837.744;0;61.48;$ 3.906;2.154.448.709;7.931
2;13/05/2011;$ 1.838.513;0;74.61;$ 3.899;2.156.124.735;7.931
2;20/05/2011;$ 1.688.282;0;67.14;$ 3.907;2.153.834.778;7.931
2;27/05/2011;$ 1.797.733;0;76.42;$ 3.786;2.151.544.822;7.931
2;3/06/2011;$ 1.933.756;0;83.07;$ 3.699;2.149.254.865;7.931
2;10/06/2011;$ 1.929.153;0;83.4;$ 3.648;2.146.964.908;7.931
2;17/06/2011;$ 1.953.772;0;86.53;$ 3.637;2.146.513.538;7.931
2;24/06/2011;$ 1.790.926;0;85.17;$ 3.594;2.147.441.108;7.931
2;1/07/2011;$ 1.866.243;0;85.69;$ 3.524;2.148.368.678;7.852
2;8/07/2011;$ 1.853.162;0;87.7;$ 3;2.149.296.249;7.852
2;15/07/2011;$ 1.785.187;0;89.83;$ 3.575;2.150.134.426;7.852
2;22/07/2011;$ 1.743.816;0;89.34;$ 3.651;2.150.749.122;7.852
2;29/07/2011;$ 1.680.693;0;90.07;$ 3.682;2.151.363.819;7.852
2;5/08/2011;$ 1.876.704;0;93.34;$ 3.684;2.151.978.515;7.852
2;12/08/2011;$ 1.812.768;0;91.58;$ 3.638;2.152.593.211;7.852
2;19/08/2011;$ 1.844.095;0;89.86;$ 3.554;2.153.229.307;7.852
2;26/08/2011;$ 1.821.140;0;90.45;$ 3.523;215.386.897;7.852
2;2/09/2011;$ 1.809.120;0;89.64;$ 3.533;2.154.508.632;7.852
2;9/09/2011;$ 1.748.001;1;77.97;$ 3.546;2.155.148.295;7.852
2;16/09/2011;$ 1.691.440;0;78.85;$ 3.526;2.156.944.378;7.852
2;23/09/2011;$ 1.669.300;0;75.58;$ 3.467;2.160.282.356;7.852
2;30/09/2011;$ 1.650.394;0;78.14;$ 3.355;2.163.620.333;7.852
2;7/10/2011;$ 1.837.553;0;69.92;$ 3.285;2.166.958.311;7.441
2;14/10/2011;$ 1.743.882;0;71.67;$ 3.274;2.170.048.261;7.441
2;21/10/2011;$ 1.834.680;0;64.53;$ 3.353;2.171.650.042;7.441
2;28/10/2011;$ 1.769.296;0;65.87;$ 3.372;2.173.251.824;7.441
2;4/11/2011;$ 1.959.708;0;55.53;$ 3.332;2.174.853.605;7.441
2;11/11/2011;$ 1.920.725;0;59.33;$ 3.297;2.176.455.387;7.441
2;18/11/2011;$ 1.902.763;0;62.01;$ 3.308;2.178.670.218;7.441
2;25/11/2011;$ 2.614.202;1;56.36;$ 3.236;2.181.130.269;7.441
2;2/12/2011;$ 1.954.952;0;48.74;$ 3.172;2.183.590.319;7.441
2;9/12/2011;$ 2.290.549;0;41.76;$ 3.158;218.605.037;7.441
2;16/12/2011;$ 2.432.737;0;50.13;$ 3.159;2.188.217.928;7.441
2;23/12/2011;$ 3.224.370;0;46.66;$ 3.112;2.189.995.495;7.441
2;30/12/2011;$ 1.874.227;1;44.57;$ 3.129;2.191.773.063;7.441
2;6/01/2012;$ 1.799.520;0;46.75;$ 3.157;219.355.063;7.057
2;13/01/2012;$ 1.744.725;0;45.99;$ 3.261;2.195.328.198;7.057
2;20/01/2012;$ 1.711.769;0;51.7;$ 3.268;2.196.258.417;7.057
2;27/01/2012;$ 1.660.906;0;50.5;$ 3;2.197.188.636;7.057
2;3/02/2012;$ 1.935.300;0;55.21;$ 3;2.198.118.854;7.057
2;10/02/2012;$ 2.103.323;1;46.98;$ 3.409;2.199.049.073;7.057
2;17/02/2012;$ 2.196.688;0;43.82;$ 4;2.200.651.993;7.057
2;24/02/2012;$ 1.861.803;0;54.63;$ 3.555;220.275.944;7.057
2;2/03/2012;$ 1.952.556;0;58.79;$ 4;2.204.866.886;7.057
2;9/03/2012;$ 1.937.628;0;57.11;$ 3.669;2.206.974.332;7.057
2;16/03/2012;$ 1.976.082;0;63.68;$ 3.734;2.208.498.468;7.057
2;23/03/2012;$ 1.790.439;0;64.01;$ 3.787;2.209.244.858;7.057
2;30/03/2012;$ 1.857.481;0;66.83;$ 3.845;2.209.991.248;7.057
2;6/04/2012;$ 2.129.036;0;68.43;$ 3.891;2.210.737.638;6.891
2;13/04/2012;$ 1.935.869;0;68.08;$ 3.891;2.211.484.028;6.891
2;20/04/2012;$ 1.847.344;0;65.69;$ 3.877;2.212.021.074;6.891
2;27/04/2012;$ 1.764.133;0;67.2;$ 3.814;221.255.812;6.891
2;4/05/2012;$ 1.923.957;0;76.73;$ 3.749;2.213.095.166;6.891
2;11/05/2012;$ 1.917.521;0;73.87;$ 3.688;2.213.632.212;6.891
2;18/05/2012;$ 2.000.941;0;71.27;$ 4;221.380.331;6.891
2;25/05/2012;$ 1.912.791;0;78.19;$ 3.561;2.213.828.029;6.891
2;1/06/2012;$ 1.910.092;0;78.38;$ 3.501;2.213.852.748;6.891
2;8/06/2012;$ 2.010.216;0;78.69;$ 3.452;2.213.877.467;6.891
2;15/06/2012;$ 1.962.924;0;80.56;$ 3.393;2.214.009.901;6.891
2;22/06/2012;$ 1.887.733;0;81.04;$ 3.346;2.214.411.622;6.891
2;29/06/2012;$ 1.881.046;0;86.32;$ 3.286;2.214.813.343;6.891
2;6/07/2012;$ 2.041.507;0;84.2;$ 3.227;2.215.215.064;6.565
2;13/07/2012;$ 1.830.075;0;80.17;$ 3.256;2.215.616.784;6.565
2;20/07/2012;$ 1.819.666;0;83.23;$ 3.311;2.215.701.123;6.565
2;27/07/2012;$ 1.757.924;0;86.37;$ 3.407;2.215.785.461;6.565
2;3/08/2012;$ 1.946.105;0;90.22;$ 3.417;2.215.869.799;6.565
2;10/08/2012;$ 1.866.720;0;88.55;$ 3.494;2.215.954.138;6.565
2;17/08/2012;$ 1.928.016;0;84.79;$ 3.571;2.216.751.459;6.565
2;24/08/2012;$ 1.876.788;0;76.91;$ 4;2.218.083.518;6.565
2;31/08/2012;$ 1.947.083;0;82.64;$ 3.638;2.219.415.576;6.565
2;7/09/2012;$ 1.898.777;1;87.65;$ 4;2.220.747.635;6.565
2;14/09/2012;$ 1.814.807;0;75.88;$ 3.717;2.222.174.395;6.565
2;21/09/2012;$ 1.829.416;0;71.09;$ 3.721;2.224.169.362;6.565
2;28/09/2012;$ 1.746.471;0;79.45;$ 3.666;2.226.164.329;6.565
2;5/10/2012;$ 1.998.321;0;70.27;$ 3.617;2.228.159.296;6.17
2;12/10/2012;$ 1.900.745;0;60.97;$ 3.601;2.230.154.263;6.17
2;19/10/2012;$ 1.847.990;0;68.08;$ 3.594;2.230.598.077;6.17
2;26/10/2012;$ 1.834.458;0;69.79;$ 3.506;2.230.783.366;6.17
3;5/02/2010;$ 461.622;0;45.71;$ 2.572;2.144.248.812;7.368
3;12/02/2010;$ 420.729;1;47.93;$ 2.548;2.145.747.916;7.368
3;19/02/2010;$ 421.642;0;47.07;$ 2.514;2.146.198.868;7.368
3;26/02/2010;$ 407.205;0;52.05;$ 2.561;2.146.475.127;7.368
3;5/03/2010;$ 415.202;0;53.04;$ 2.625;2.146.751.386;7.368
3;12/03/2010;$ 384.201;0;63.08;$ 2.667;2.147.027.646;7.368
3;19/03/2010;$ 375.329;0;60.42;$ 3;2.145.301.219;7.368
3;26/03/2010;$ 359.949;0;57.06;$ 2.732;2.143.241.011;7.368
3;2/04/2010;$ 423.294;0;65.56;$ 2.719;2.141.180.803;7.343
3;9/04/2010;$ 415.870;0;68;$ 3;2.139.120.595;7.343
3;16/04/2010;$ 354.993;0;66.98;$ 2.808;2.137.726.889;7.343
3;23/04/2010;$ 339.977;0;67.87;$ 2.795;2.137.221.852;7.343
3;30/04/2010;$ 361.248;0;70.24;$ 3;2.136.716.815;7.343
3;7/05/2010;$ 399.324;0;73.47;$ 2.835;2.136.211.778;7.343
3;14/05/2010;$ 384.358;0;77.18;$ 2.854;2.136.196.139;7.343
3;21/05/2010;$ 343.763;0;75.81;$ 2.826;2.139.116.886;7.343
3;28/05/2010;$ 350.089;0;78.6;$ 2.759;2.142.037.634;7.343
3;4/06/2010;$ 396.969;0;78.53;$ 2.705;2.144.958.382;7.343
3;11/06/2010;$ 355.017;0;82.1;$ 2.668;214.787.913;7.343
3;18/06/2010;$ 364.077;0;83.52;$ 2.637;2.147.858.259;7.343
3;25/06/2010;$ 357.346;0;83.79;$ 2.653;2.146.660.741;7.343
3;2/07/2010;$ 381.152;0;82.2;$ 2.669;2.145.463.222;7.346
3;9/07/2010;$ 349.214;0;81.75;$ 2.642;2.144.265.704;7.346
3;16/07/2010;$ 352.729;0;84.32;$ 2.623;2.144.176.476;7.346
3;23/07/2010;$ 352.864;0;83.32;$ 2.608;2.145.564.968;7.346
3;30/07/2010;$ 347.955;0;82.04;$ 3;214.695.346;7.346
3;6/08/2010;$ 402.636;0;85.13;$ 2.627;2.148.341.952;7.346
3;13/08/2010;$ 339.597;0;86.74;$ 2.692;2.149.730.444;7.346
3;20/08/2010;$ 351.728;0;88.02;$ 2.664;2.149.314.191;7.346
3;27/08/2010;$ 362.134;0;86.15;$ 2.619;2.148.897.938;7.346
3;3/09/2010;$ 366.474;0;84.16;$ 2.577;2.148.481.685;7.346
3;10/09/2010;$ 352.261;1;80.84;$ 2.565;2.148.065.431;7.346
3;17/09/2010;$ 363.065;0;82.36;$ 2.582;2.148.322.484;7.346
3;24/09/2010;$ 355.627;0;76.9;$ 2.624;2.149.084.516;7.346
3;1/10/2010;$ 358.784;0;73.6;$ 2.603;2.149.846.548;7.564
3;8/10/2010;$ 395.107;0;66.99;$ 2.633;215.060.858;7.564
3;15/10/2010;$ 345.584;0;69.71;$ 3;2.151.293.114;7.564
3;22/10/2010;$ 348.896;0;71.64;$ 2.725;21.517.839;7.564
3;29/10/2010;$ 348.592;0;72.04;$ 2.716;2.152.274.686;7.564
3;5/11/2010;$ 423.176;0;62.94;$ 2.689;2.152.765.472;7.564
3;12/11/2010;$ 386.635;0;62.79;$ 2.728;2.153.256.258;7.564
3;19/11/2010;$ 372.545;0;57.72;$ 2.771;2.152.074.519;7.564
